example_idx,question_id,query_type,gold,pred,layer,rank,pos,token,attn_weight
0,11856,ate,yes,yes,33,2,9,Ġor,0.213867
0,11856,ate,yes,yes,33,3,11,no,0.073730
0,11856,ate,yes,yes,33,4,7,yes,0.056152
0,11856,ate,yes,yes,33,5,25,Ġa,0.054932
0,11856,ate,yes,yes,34,1,107,Ċ,0.238281
0,11856,ate,yes,yes,34,2,9,Ġor,0.167969
0,11856,ate,yes,yes,34,3,2,Ċ,0.142578
0,11856,ate,yes,yes,34,4,106,assistant,0.136719
0,11856,ate,yes,yes,34,5,105,<|im_start|>,0.041504
0,11856,ate,yes,yes,35,1,107,Ċ,0.241211
0,11856,ate,yes,yes,35,2,9,Ġor,0.191406
0,11856,ate,yes,yes,35,3,2,Ċ,0.191406
0,11856,ate,yes,yes,35,4,106,assistant,0.090332
0,11856,ate,yes,yes,35,5,105,<|im_start|>,0.024658
1,20799,nie,yes,yes,0,1,195,Ċ,0.269531
1,20799,nie,yes,yes,0,2,192,Ċ,0.079102
1,20799,nie,yes,yes,0,3,194,assistant,0.036133
1,20799,nie,yes,yes,0,4,190,?,0.033447
1,20799,nie,yes,yes,0,5,3,Answer,0.020752
1,20799,nie,yes,yes,1,1,195,Ċ,0.144531
1,20799,nie,yes,yes,1,2,192,Ċ,0.141602
1,20799,nie,yes,yes,1,3,194,assistant,0.073242
1,20799,nie,yes,yes,1,4,190,?,0.048584
1,20799,nie,yes,yes,1,5,193,<|im_start|>,0.038574
1,20799,nie,yes,yes,2,1,195,Ċ,0.208984
1,20799,nie,yes,yes,2,2,194,assistant,0.185547
1,20799,nie,yes,yes,2,3,192,Ċ,0.160156
1,20799,nie,yes,yes,2,4,193,<|im_start|>,0.056396
1,20799,nie,yes,yes,2,5,3,Answer,0.028076
1,20799,nie,yes,yes,3,1,0,<|im_start|>,0.648438
1,20799,nie,yes,yes,3,2,23,Ċ,0.063477
1,20799,nie,yes,yes,3,3,195,Ċ,0.050781
1,20799,nie,yes,yes,3,4,194,assistant,0.048828
1,20799,nie,yes,yes,3,5,192,Ċ,0.040283
1,20799,nie,yes,yes,4,1,0,<|im_start|>,0.750000
1,20799,nie,yes,yes,4,2,194,assistant,0.074707
1,20799,nie,yes,yes,4,3,195,Ċ,0.037598
1,20799,nie,yes,yes,4,4,192,Ċ,0.028687
1,20799,nie,yes,yes,4,5,23,Ċ,0.023438
1,20799,nie,yes,yes,5,1,0,<|im_start|>,0.785156
1,20799,nie,yes,yes,5,2,195,Ċ,0.074707
1,20799,nie,yes,yes,5,3,194,assistant,0.044678
1,20799,nie,yes,yes,5,4,193,<|im_start|>,0.018921
1,20799,nie,yes,yes,5,5,192,Ċ,0.008362
1,20799,nie,yes,yes,6,1,0,<|im_start|>,0.589844
1,20799,nie,yes,yes,6,2,195,Ċ,0.060547
1,20799,nie,yes,yes,6,3,194,assistant,0.051025
1,20799,nie,yes,yes,6,4,23,Ċ,0.043213
1,20799,nie,yes,yes,6,5,192,Ċ,0.031250
1,20799,nie,yes,yes,7,1,0,<|im_start|>,0.621094
1,20799,nie,yes,yes,7,2,195,Ċ,0.074219
1,20799,nie,yes,yes,7,3,194,assistant,0.032471
1,20799,nie,yes,yes,7,4,23,Ċ,0.027100
1,20799,nie,yes,yes,7,5,3,Answer,0.022461
1,20799,nie,yes,yes,8,1,0,<|im_start|>,0.396484
1,20799,nie,yes,yes,8,2,20,Ċ,0.112793
1,20799,nie,yes,yes,8,3,195,Ċ,0.071289
1,20799,nie,yes,yes,8,4,192,Ċ,0.063477
1,20799,nie,yes,yes,8,5,194,assistant,0.049561
1,20799,nie,yes,yes,9,1,0,<|im_start|>,0.617188
1,20799,nie,yes,yes,9,2,195,Ċ,0.085938
1,20799,nie,yes,yes,9,3,192,Ċ,0.071777
1,20799,nie,yes,yes,9,4,194,assistant,0.046387
1,20799,nie,yes,yes,9,5,20,Ċ,0.036865
1,20799,nie,yes,yes,10,1,0,<|im_start|>,0.410156
1,20799,nie,yes,yes,10,2,195,Ċ,0.128906
1,20799,nie,yes,yes,10,3,192,Ċ,0.098633
1,20799,nie,yes,yes,10,4,20,Ċ,0.090820
1,20799,nie,yes,yes,10,5,23,Ċ,0.040527
1,20799,nie,yes,yes,11,1,0,<|im_start|>,0.503906
1,20799,nie,yes,yes,11,2,195,Ċ,0.134766
1,20799,nie,yes,yes,11,3,192,Ċ,0.046143
1,20799,nie,yes,yes,11,4,194,assistant,0.028198
1,20799,nie,yes,yes,11,5,20,Ċ,0.024536
1,20799,nie,yes,yes,12,1,0,<|im_start|>,0.388672
1,20799,nie,yes,yes,12,2,195,Ċ,0.136719
1,20799,nie,yes,yes,12,3,192,Ċ,0.055908
1,20799,nie,yes,yes,12,4,11,no,0.042969
1,20799,nie,yes,yes,12,5,12,'.,0.041504
1,20799,nie,yes,yes,13,1,0,<|im_start|>,0.605469
1,20799,nie,yes,yes,13,2,195,Ċ,0.060547
1,20799,nie,yes,yes,13,3,192,Ċ,0.052979
1,20799,nie,yes,yes,13,4,194,assistant,0.040771
1,20799,nie,yes,yes,13,5,20,Ċ,0.039062
1,20799,nie,yes,yes,14,1,0,<|im_start|>,0.503906
1,20799,nie,yes,yes,14,2,195,Ċ,0.137695
1,20799,nie,yes,yes,14,3,192,Ċ,0.085938
1,20799,nie,yes,yes,14,4,193,<|im_start|>,0.032959
1,20799,nie,yes,yes,14,5,194,assistant,0.026245
1,20799,nie,yes,yes,15,1,0,<|im_start|>,0.453125
1,20799,nie,yes,yes,15,2,195,Ċ,0.119629
1,20799,nie,yes,yes,15,3,192,Ċ,0.088867
1,20799,nie,yes,yes,15,4,23,Ċ,0.042480
1,20799,nie,yes,yes,15,5,20,Ċ,0.029663
1,20799,nie,yes,yes,16,1,0,<|im_start|>,0.146484
1,20799,nie,yes,yes,16,2,195,Ċ,0.127930
1,20799,nie,yes,yes,16,3,20,Ċ,0.071289
1,20799,nie,yes,yes,16,4,15,.,0.068848
1,20799,nie,yes,yes,16,5,192,Ċ,0.066406
1,20799,nie,yes,yes,17,1,0,<|im_start|>,0.357422
1,20799,nie,yes,yes,17,2,195,Ċ,0.114258
1,20799,nie,yes,yes,17,3,20,Ċ,0.086914
1,20799,nie,yes,yes,17,4,12,'.,0.056641
1,20799,nie,yes,yes,17,5,192,Ċ,0.054688
1,20799,nie,yes,yes,18,1,0,<|im_start|>,0.243164
1,20799,nie,yes,yes,18,2,195,Ċ,0.175781
1,20799,nie,yes,yes,18,3,192,Ċ,0.106934
1,20799,nie,yes,yes,18,4,20,Ċ,0.055420
1,20799,nie,yes,yes,18,5,12,'.,0.047119
1,20799,nie,yes,yes,19,1,0,<|im_start|>,0.322266
1,20799,nie,yes,yes,19,2,195,Ċ,0.125977
1,20799,nie,yes,yes,19,3,12,'.,0.060303
1,20799,nie,yes,yes,19,4,7,yes,0.039551
1,20799,nie,yes,yes,19,5,192,Ċ,0.038086
1,20799,nie,yes,yes,20,1,0,<|im_start|>,0.429688
1,20799,nie,yes,yes,20,2,195,Ċ,0.096680
1,20799,nie,yes,yes,20,3,192,Ċ,0.036865
1,20799,nie,yes,yes,20,4,12,'.,0.031738
1,20799,nie,yes,yes,20,5,14,Ġexplanation,0.028320
1,20799,nie,yes,yes,21,1,195,Ċ,0.123535
1,20799,nie,yes,yes,21,2,7,yes,0.078613
1,20799,nie,yes,yes,21,3,18,.,0.078613
1,20799,nie,yes,yes,21,4,0,<|im_start|>,0.075684
1,20799,nie,yes,yes,21,5,14,Ġexplanation,0.060791
1,20799,nie,yes,yes,22,1,0,<|im_start|>,0.310547
1,20799,nie,yes,yes,22,2,7,yes,0.092285
1,20799,nie,yes,yes,22,3,195,Ċ,0.080566
1,20799,nie,yes,yes,22,4,11,no,0.075195
1,20799,nie,yes,yes,22,5,8,',0.049316
1,20799,nie,yes,yes,23,1,0,<|im_start|>,0.298828
1,20799,nie,yes,yes,23,2,195,Ċ,0.124512
1,20799,nie,yes,yes,23,3,194,assistant,0.086426
1,20799,nie,yes,yes,23,4,190,?,0.080078
1,20799,nie,yes,yes,23,5,192,Ċ,0.033691
1,20799,nie,yes,yes,24,1,0,<|im_start|>,0.201172
1,20799,nie,yes,yes,24,2,195,Ċ,0.139648
1,20799,nie,yes,yes,24,3,190,?,0.115723
1,20799,nie,yes,yes,24,4,194,assistant,0.088379
1,20799,nie,yes,yes,24,5,17,Ġpunctuation,0.045898
1,20799,nie,yes,yes,25,1,0,<|im_start|>,0.546875
1,20799,nie,yes,yes,25,2,195,Ċ,0.117188
1,20799,nie,yes,yes,25,3,7,yes,0.045898
1,20799,nie,yes,yes,25,4,194,assistant,0.036865
1,20799,nie,yes,yes,25,5,190,?,0.033447
1,20799,nie,yes,yes,26,1,0,<|im_start|>,0.353516
1,20799,nie,yes,yes,26,2,195,Ċ,0.112305
1,20799,nie,yes,yes,26,3,190,?,0.083984
1,20799,nie,yes,yes,26,4,183,Ġnegatively,0.044678
1,20799,nie,yes,yes,26,5,7,yes,0.037109
1,20799,nie,yes,yes,27,1,0,<|im_start|>,0.229492
1,20799,nie,yes,yes,27,2,195,Ċ,0.164062
1,20799,nie,yes,yes,27,3,7,yes,0.109375
1,20799,nie,yes,yes,27,4,18,.,0.091309
1,20799,nie,yes,yes,27,5,11,no,0.066895
1,20799,nie,yes,yes,28,1,0,<|im_start|>,0.443359
1,20799,nie,yes,yes,28,2,195,Ċ,0.116699
1,20799,nie,yes,yes,28,3,194,assistant,0.087402
1,20799,nie,yes,yes,28,4,18,.,0.058105
1,20799,nie,yes,yes,28,5,11,no,0.056641
1,20799,nie,yes,yes,29,1,0,<|im_start|>,0.468750
1,20799,nie,yes,yes,29,2,7,yes,0.098145
1,20799,nie,yes,yes,29,3,195,Ċ,0.094238
1,20799,nie,yes,yes,29,4,194,assistant,0.064941
1,20799,nie,yes,yes,29,5,190,?,0.030151
1,20799,nie,yes,yes,30,1,0,<|im_start|>,0.394531
1,20799,nie,yes,yes,30,2,11,no,0.132812
1,20799,nie,yes,yes,30,3,195,Ċ,0.113281
1,20799,nie,yes,yes,30,4,7,yes,0.092773
1,20799,nie,yes,yes,30,5,194,assistant,0.068848
1,20799,nie,yes,yes,31,1,7,yes,0.194336
1,20799,nie,yes,yes,31,2,2,Ċ,0.142578
1,20799,nie,yes,yes,31,3,11,no,0.102051
1,20799,nie,yes,yes,31,4,9,Ġor,0.095215
1,20799,nie,yes,yes,31,5,194,assistant,0.069824
1,20799,nie,yes,yes,32,1,2,Ċ,0.212891
1,20799,nie,yes,yes,32,2,11,no,0.199219
1,20799,nie,yes,yes,32,3,9,Ġor,0.157227
1,20799,nie,yes,yes,32,4,7,yes,0.143555
1,20799,nie,yes,yes,32,5,195,Ċ,0.032715
1,20799,nie,yes,yes,33,1,2,Ċ,0.330078
1,20799,nie,yes,yes,33,2,9,Ġor,0.208008
1,20799,nie,yes,yes,33,3,11,no,0.096680
1,20799,nie,yes,yes,33,4,7,yes,0.057617
1,20799,nie,yes,yes,33,5,25,Ġa,0.045166
1,20799,nie,yes,yes,34,1,195,Ċ,0.238281
1,20799,nie,yes,yes,34,2,9,Ġor,0.193359
1,20799,nie,yes,yes,34,3,2,Ċ,0.153320
1,20799,nie,yes,yes,34,4,194,assistant,0.135742
1,20799,nie,yes,yes,34,5,193,<|im_start|>,0.039795
1,20799,nie,yes,yes,35,1,195,Ċ,0.250000
1,20799,nie,yes,yes,35,2,9,Ġor,0.208984
1,20799,nie,yes,yes,35,3,2,Ċ,0.196289
1,20799,nie,yes,yes,35,4,194,assistant,0.092773
1,20799,nie,yes,yes,35,5,193,<|im_start|>,0.025391
2,20272,correlation,yes,yes,0,1,165,Ċ,0.275391
2,20272,correlation,yes,yes,0,2,162,Ċ,0.082520
2,20272,correlation,yes,yes,0,3,164,assistant,0.038086
2,20272,correlation,yes,yes,0,4,160,?,0.035400
2,20272,correlation,yes,yes,0,5,3,Answer,0.027344
2,20272,correlation,yes,yes,1,1,162,Ċ,0.138672
2,20272,correlation,yes,yes,1,2,165,Ċ,0.137695
2,20272,correlation,yes,yes,1,3,164,assistant,0.069336
2,20272,correlation,yes,yes,1,4,160,?,0.045166
2,20272,correlation,yes,yes,1,5,163,<|im_start|>,0.042969
2,20272,correlation,yes,yes,2,1,165,Ċ,0.208008
2,20272,correlation,yes,yes,2,2,164,assistant,0.175781
2,20272,correlation,yes,yes,2,3,162,Ċ,0.155273
2,20272,correlation,yes,yes,2,4,163,<|im_start|>,0.056885
2,20272,correlation,yes,yes,2,5,3,Answer,0.027832
2,20272,correlation,yes,yes,3,1,0,<|im_start|>,0.625000
2,20272,correlation,yes,yes,3,2,23,Ċ,0.068848
2,20272,correlation,yes,yes,3,3,165,Ċ,0.052734
2,20272,correlation,yes,yes,3,4,164,assistant,0.043945
2,20272,correlation,yes,yes,3,5,162,Ċ,0.042725
2,20272,correlation,yes,yes,4,1,0,<|im_start|>,0.730469
2,20272,correlation,yes,yes,4,2,164,assistant,0.074219
2,20272,correlation,yes,yes,4,3,165,Ċ,0.038574
2,20272,correlation,yes,yes,4,4,162,Ċ,0.029907
2,20272,correlation,yes,yes,4,5,23,Ċ,0.027344
2,20272,correlation,yes,yes,5,1,0,<|im_start|>,0.773438
2,20272,correlation,yes,yes,5,2,165,Ċ,0.079590
2,20272,correlation,yes,yes,5,3,164,assistant,0.045898
2,20272,correlation,yes,yes,5,4,163,<|im_start|>,0.020386
2,20272,correlation,yes,yes,5,5,3,Answer,0.011414
2,20272,correlation,yes,yes,6,1,0,<|im_start|>,0.585938
2,20272,correlation,yes,yes,6,2,165,Ċ,0.058105
2,20272,correlation,yes,yes,6,3,164,assistant,0.049072
2,20272,correlation,yes,yes,6,4,23,Ċ,0.048340
2,20272,correlation,yes,yes,6,5,162,Ċ,0.033447
2,20272,correlation,yes,yes,7,1,0,<|im_start|>,0.628906
2,20272,correlation,yes,yes,7,2,165,Ċ,0.074707
2,20272,correlation,yes,yes,7,3,164,assistant,0.030029
2,20272,correlation,yes,yes,7,4,23,Ċ,0.025391
2,20272,correlation,yes,yes,7,5,3,Answer,0.021606
2,20272,correlation,yes,yes,8,1,0,<|im_start|>,0.408203
2,20272,correlation,yes,yes,8,2,20,Ċ,0.111328
2,20272,correlation,yes,yes,8,3,165,Ċ,0.069336
2,20272,correlation,yes,yes,8,4,162,Ċ,0.066895
2,20272,correlation,yes,yes,8,5,164,assistant,0.045410
2,20272,correlation,yes,yes,9,1,0,<|im_start|>,0.613281
2,20272,correlation,yes,yes,9,2,165,Ċ,0.085938
2,20272,correlation,yes,yes,9,3,162,Ċ,0.082031
2,20272,correlation,yes,yes,9,4,164,assistant,0.046387
2,20272,correlation,yes,yes,9,5,20,Ċ,0.035156
2,20272,correlation,yes,yes,10,1,0,<|im_start|>,0.410156
2,20272,correlation,yes,yes,10,2,165,Ċ,0.132812
2,20272,correlation,yes,yes,10,3,162,Ċ,0.088867
2,20272,correlation,yes,yes,10,4,20,Ċ,0.085449
2,20272,correlation,yes,yes,10,5,23,Ċ,0.038574
2,20272,correlation,yes,yes,11,1,0,<|im_start|>,0.507812
2,20272,correlation,yes,yes,11,2,165,Ċ,0.131836
2,20272,correlation,yes,yes,11,3,162,Ċ,0.041992
2,20272,correlation,yes,yes,11,4,164,assistant,0.027588
2,20272,correlation,yes,yes,11,5,20,Ċ,0.024902
2,20272,correlation,yes,yes,12,1,0,<|im_start|>,0.384766
2,20272,correlation,yes,yes,12,2,165,Ċ,0.135742
2,20272,correlation,yes,yes,12,3,162,Ċ,0.059570
2,20272,correlation,yes,yes,12,4,20,Ċ,0.043701
2,20272,correlation,yes,yes,12,5,12,'.,0.042725
2,20272,correlation,yes,yes,13,1,0,<|im_start|>,0.601562
2,20272,correlation,yes,yes,13,2,165,Ċ,0.057617
2,20272,correlation,yes,yes,13,3,162,Ċ,0.048096
2,20272,correlation,yes,yes,13,4,20,Ċ,0.044434
2,20272,correlation,yes,yes,13,5,164,assistant,0.040771
2,20272,correlation,yes,yes,14,1,0,<|im_start|>,0.496094
2,20272,correlation,yes,yes,14,2,165,Ċ,0.144531
2,20272,correlation,yes,yes,14,3,162,Ċ,0.092285
2,20272,correlation,yes,yes,14,4,163,<|im_start|>,0.032959
2,20272,correlation,yes,yes,14,5,161,<|im_end|>,0.032227
2,20272,correlation,yes,yes,15,1,0,<|im_start|>,0.441406
2,20272,correlation,yes,yes,15,2,165,Ċ,0.118164
2,20272,correlation,yes,yes,15,3,162,Ċ,0.095215
2,20272,correlation,yes,yes,15,4,23,Ċ,0.050537
2,20272,correlation,yes,yes,15,5,20,Ċ,0.032959
2,20272,correlation,yes,yes,16,1,0,<|im_start|>,0.168945
2,20272,correlation,yes,yes,16,2,165,Ċ,0.129883
2,20272,correlation,yes,yes,16,3,20,Ċ,0.074707
2,20272,correlation,yes,yes,16,4,15,.,0.069336
2,20272,correlation,yes,yes,16,5,162,Ċ,0.064941
2,20272,correlation,yes,yes,17,1,0,<|im_start|>,0.361328
2,20272,correlation,yes,yes,17,2,165,Ċ,0.109863
2,20272,correlation,yes,yes,17,3,20,Ċ,0.090820
2,20272,correlation,yes,yes,17,4,23,Ċ,0.055176
2,20272,correlation,yes,yes,17,5,12,'.,0.052979
2,20272,correlation,yes,yes,18,1,0,<|im_start|>,0.243164
2,20272,correlation,yes,yes,18,2,165,Ċ,0.171875
2,20272,correlation,yes,yes,18,3,162,Ċ,0.106934
2,20272,correlation,yes,yes,18,4,20,Ċ,0.057129
2,20272,correlation,yes,yes,18,5,12,'.,0.044922
2,20272,correlation,yes,yes,19,1,0,<|im_start|>,0.322266
2,20272,correlation,yes,yes,19,2,165,Ċ,0.121094
2,20272,correlation,yes,yes,19,3,12,'.,0.061279
2,20272,correlation,yes,yes,19,4,23,Ċ,0.034668
2,20272,correlation,yes,yes,19,5,164,assistant,0.031982
