example_idx,question_id,query_type,gold,pred,layer,entropy_avg_heads,max_possible_entropy
11,5135,backadj,yes,yes,20,2.248505,4.882802
11,5135,backadj,yes,yes,21,2.744385,4.882802
11,5135,backadj,yes,yes,22,2.878418,4.882802
11,5135,backadj,yes,yes,23,2.114990,4.882802
11,5135,backadj,yes,yes,24,2.255859,4.882802
11,5135,backadj,yes,yes,25,1.733643,4.882802
11,5135,backadj,yes,yes,26,1.756592,4.882802
11,5135,backadj,yes,yes,27,2.319580,4.882802
11,5135,backadj,yes,yes,28,2.018555,4.882802
11,5135,backadj,yes,yes,29,1.895752,4.882802
11,5135,backadj,yes,yes,30,2.005615,4.882802
11,5135,backadj,yes,yes,31,2.888672,4.882802
11,5135,backadj,yes,yes,32,2.357422,4.882802
11,5135,backadj,yes,yes,33,2.451172,4.882802
11,5135,backadj,yes,yes,34,2.660156,4.882802
11,5135,backadj,yes,yes,35,2.654053,4.882802
12,20363,ett,yes,yes,0,2.956606,5.153292
12,20363,ett,yes,yes,1,3.490723,5.153292
12,20363,ett,yes,yes,2,2.697754,5.153292
12,20363,ett,yes,yes,3,1.640869,5.153292
12,20363,ett,yes,yes,4,1.197876,5.153292
12,20363,ett,yes,yes,5,0.799714,5.153292
12,20363,ett,yes,yes,6,1.679932,5.153292
12,20363,ett,yes,yes,7,1.876343,5.153292
12,20363,ett,yes,yes,8,1.995361,5.153292
12,20363,ett,yes,yes,9,1.323608,5.153292
12,20363,ett,yes,yes,10,2.027100,5.153292
12,20363,ett,yes,yes,11,2.251709,5.153292
12,20363,ett,yes,yes,12,2.037842,5.153292
12,20363,ett,yes,yes,13,1.495117,5.153292
12,20363,ett,yes,yes,14,1.659668,5.153292
12,20363,ett,yes,yes,15,1.645020,5.153292
12,20363,ett,yes,yes,16,2.552734,5.153292
12,20363,ett,yes,yes,17,2.093384,5.153292
12,20363,ett,yes,yes,18,2.415527,5.153292
12,20363,ett,yes,yes,19,2.376099,5.153292
12,20363,ett,yes,yes,20,2.131409,5.153292
12,20363,ett,yes,yes,21,2.498779,5.153292
12,20363,ett,yes,yes,22,2.696289,5.153292
12,20363,ett,yes,yes,23,2.119629,5.153292
12,20363,ett,yes,yes,24,1.950684,5.153292
12,20363,ett,yes,yes,25,1.446777,5.153292
12,20363,ett,yes,yes,26,1.437256,5.153292
12,20363,ett,yes,yes,27,2.177858,5.153292
12,20363,ett,yes,yes,28,1.966675,5.153292
12,20363,ett,yes,yes,29,1.717529,5.153292
12,20363,ett,yes,yes,30,1.954834,5.153292
12,20363,ett,yes,yes,31,2.760254,5.153292
12,20363,ett,yes,yes,32,2.287598,5.153292
12,20363,ett,yes,yes,33,2.222656,5.153292
12,20363,ett,yes,yes,34,2.625488,5.153292
12,20363,ett,yes,yes,35,2.884521,5.153292
13,19120,nie,no,no,0,3.284428,5.686975
13,19120,nie,no,no,1,3.773438,5.686975
13,19120,nie,no,no,2,2.854492,5.686975
13,19120,nie,no,no,3,1.669434,5.686975
13,19120,nie,no,no,4,1.132568,5.686975
13,19120,nie,no,no,5,0.780715,5.686975
13,19120,nie,no,no,6,1.799316,5.686975
13,19120,nie,no,no,7,1.855469,5.686975
13,19120,nie,no,no,8,2.086914,5.686975
13,19120,nie,no,no,9,1.389038,5.686975
13,19120,nie,no,no,10,2.114014,5.686975
13,19120,nie,no,no,11,2.341797,5.686975
13,19120,nie,no,no,12,2.023682,5.686975
13,19120,nie,no,no,13,1.554688,5.686975
13,19120,nie,no,no,14,1.659668,5.686975
13,19120,nie,no,no,15,1.747559,5.686975
13,19120,nie,no,no,16,2.597656,5.686975
13,19120,nie,no,no,17,2.105835,5.686975
13,19120,nie,no,no,18,2.499756,5.686975
13,19120,nie,no,no,19,2.279053,5.686975
13,19120,nie,no,no,20,2.250961,5.686975
13,19120,nie,no,no,21,2.891113,5.686975
13,19120,nie,no,no,22,2.958984,5.686975
13,19120,nie,no,no,23,2.681885,5.686975
13,19120,nie,no,no,24,2.614258,5.686975
13,19120,nie,no,no,25,1.901367,5.686975
13,19120,nie,no,no,26,2.026855,5.686975
13,19120,nie,no,no,27,2.652832,5.686975
13,19120,nie,no,no,28,2.242676,5.686975
13,19120,nie,no,no,29,2.090454,5.686975
13,19120,nie,no,no,30,2.025391,5.686975
13,19120,nie,no,no,31,3.046387,5.686975
13,19120,nie,no,no,32,3.002930,5.686975
13,19120,nie,no,no,33,2.923828,5.686975
13,19120,nie,no,no,34,2.489746,5.686975
13,19120,nie,no,no,35,2.650513,5.686975
14,5569,marginal,yes,yes,0,2.866394,4.897840
14,5569,marginal,yes,yes,1,3.399414,4.897840
14,5569,marginal,yes,yes,2,2.733398,4.897840
14,5569,marginal,yes,yes,3,1.659546,4.897840
14,5569,marginal,yes,yes,4,1.186035,4.897840
14,5569,marginal,yes,yes,5,0.801181,4.897840
14,5569,marginal,yes,yes,6,1.686279,4.897840
14,5569,marginal,yes,yes,7,1.798828,4.897840
14,5569,marginal,yes,yes,8,1.979736,4.897840
14,5569,marginal,yes,yes,9,1.378662,4.897840
14,5569,marginal,yes,yes,10,2.005859,4.897840
14,5569,marginal,yes,yes,11,2.260254,4.897840
14,5569,marginal,yes,yes,12,1.987671,4.897840
14,5569,marginal,yes,yes,13,1.468750,4.897840
14,5569,marginal,yes,yes,14,1.623779,4.897840
14,5569,marginal,yes,yes,15,1.651367,4.897840
14,5569,marginal,yes,yes,16,2.586426,4.897840
14,5569,marginal,yes,yes,17,2.088989,4.897840
14,5569,marginal,yes,yes,18,2.477539,4.897840
14,5569,marginal,yes,yes,19,2.353271,4.897840
14,5569,marginal,yes,yes,20,2.180374,4.897840
14,5569,marginal,yes,yes,21,2.588867,4.897840
14,5569,marginal,yes,yes,22,2.758301,4.897840
14,5569,marginal,yes,yes,23,2.156494,4.897840
14,5569,marginal,yes,yes,24,2.063232,4.897840
14,5569,marginal,yes,yes,25,1.537720,4.897840
14,5569,marginal,yes,yes,26,1.950439,4.897840
14,5569,marginal,yes,yes,27,2.401367,4.897840
14,5569,marginal,yes,yes,28,1.930420,4.897840
14,5569,marginal,yes,yes,29,1.578613,4.897840
14,5569,marginal,yes,yes,30,1.805176,4.897840
14,5569,marginal,yes,yes,31,2.892090,4.897840
14,5569,marginal,yes,yes,32,2.524414,4.897840
14,5569,marginal,yes,yes,33,2.490723,4.897840
